142,MIN,Minnesota Twins,202,103,min,Minnesota,Twins
139,TB,Tampa Bay Rays,201,103,tba,Tampa Bay,Rays
116,DET,Detroit Tigers,202,103,det,Detroit,Tigers
118,KC,Kansas City Royals,202,103,kca,Kansas City,Royals
134,PIT,Pittsburgh Pirates,205,104,pit,Pittsburgh,Pirates
112,CHC,Chicago Cubs,205,104,chn,Chi Cubs,Cubs
109,ARI,Arizona Diamondbacks,203,104,ari,Arizona,D-backs
115,COL,Colorado Rockies,203,104,col,Colorado,Rockies
120,WSH,Washington Nationals,204,104,was,Washington,Nationals
143,PHI,Philadelphia Phillies,204,104,phi,Philadelphia,Phillies
138,STL,St. Louis Cardinals,205,104,sln,St. Louis,Cardinals
136,SEA,Seattle Mariners,200,103,sea,Seattle,Mariners
158,MIL,Milwaukee Brewers,205,104,mil,Milwaukee,Brewers
113,CIN,Cincinnati Reds,205,104,cin,Cincinnati,Reds
121,NYM,New York Mets,204,104,nyn,NY Mets,Mets
146,MIA,Miami Marlins,204,104,mia,Miami,Marlins
117,HOU,Houston Astros,200,103,hou,Houston,Astros
108,LAA,Los Angeles Angels,200,103,ana,LA Angels,Angels
119,LAD,Los Angeles Dodgers,203,104,lan,LA Dodgers,Dodgers
137,SF,San Francisco Giants,203,104,sfn,San Francisco,Giants
144,ATL,Atlanta Braves,204,104,atl,Atlanta,Braves
135,SD,San Diego Padres,203,104,sdn,San Diego,Padres
140,TEX,Texas Rangers,200,103,tex,Texas,Rangers
133,OAK,Oakland Athletics,200,103,oak,Oakland,Athletics
111,BOS,Boston Red Sox,201,103,bos,Boston,Red Sox
147,NYY,New York Yankees,201,103,nya,NY Yankees,Yankees
145,CWS,Chicago White Sox,202,103,cha,Chi White Sox,White Sox
114,CLE,Cleveland Indians,202,103,cle,Cleveland,Indians
141,TOR,Toronto Blue Jays,201,103,tor,Toronto,Blue Jays
110,BAL,Baltimore Orioles,201,103,bal,Baltimore,Orioles
160,NL,National League All-Stars,,104,nas,NL All-Stars,NL All-Stars
159,AL,American League All-Stars,,103,aas,AL All-Stars,AL All-Stars
